;Sobrepeso;Sobrepeso;Sobrepeso;Sobrepeso;Sobrepeso;Sobrepeso;Sobrepeso;Sobrepeso;Sobrepeso;Sobrepeso;Sobrepeso;Sobrepeso;Sobrepeso;Sobrepeso;Sobrepeso;Obesidade;Obesidade;Obesidade;Obesidade;Obesidade;Obesidade;Obesidade;Obesidade;Obesidade;Obesidade;Obesidade;Obesidade;Obesidade;Obesidade;Obesidade;Excesso de peso;Excesso de peso;Excesso de peso;Excesso de peso;Excesso de peso;Excesso de peso;Excesso de peso;Excesso de peso;Excesso de peso;Excesso de peso;Excesso de peso;Excesso de peso;Excesso de peso;Excesso de peso;Excesso de peso
;20 a 29 anos;20 a 29 anos;20 a 29 anos;30 a 39 anos;30 a 39 anos;30 a 39 anos;40 a 49 anos;40 a 49 anos;40 a 49 anos;50 a 59 anos;50 a 59 anos;50 a 59 anos;Total;Total;Total;20 a 29 anos;20 a 29 anos;20 a 29 anos;30 a 39 anos;30 a 39 anos;30 a 39 anos;40 a 49 anos;40 a 49 anos;40 a 49 anos;50 a 59 anos;50 a 59 anos;50 a 59 anos;Total;Total;Total;20 a 29 anos;20 a 29 anos;20 a 29 anos;30 a 39 anos;30 a 39 anos;30 a 39 anos;40 a 49 anos;40 a 49 anos;40 a 49 anos;50 a 59 anos;50 a 59 anos;50 a 59 anos;Total;Total;Total
Região;Masc;Fem;Total;Masc;Fem;Total;Masc;Fem;Total;Masc;Fem;Total;Masc;Fem;Total;Masc;Fem;Total;Masc;Fem;Total;Masc;Fem;Total;Masc;Fem;Total;Masc;Fem;Total;Masc;Fem;Total;Masc;Fem;Total;Masc;Fem;Total;Masc;Fem;Total;Masc;Fem;Total
Norte;20,5;14,8;17,9;30,4;27;28,8;34,6;27,7;31,1;35,3;35,1;35,1;28,1;24;26,1;3,9;5,1;4,6;8,7;8,5;8,5;10,2;17;13,7;11,1;15;12,9;7,5;10,3;8,9;24,3;19,8;22,5;39,1;35,4;37,3;44,8;44,7;44,8;46,4;50,1;48;35,6;34,3;35
Nordeste;17,1;16,3;17,2;28,5;25,7;27,1;31,9;32,6;32,3;32;34,7;33,4;25,8;26,4;26,3;3,6;5,6;4,8;8,7;9,9;9,4;8,6;15,2;12,2;8,6;17,9;13,6;6,6;11,4;9,2;20,7;21,9;22;37,2;35,6;36,5;40,5;47,9;44,5;40,6;52,6;47,1;32,5;37,9;35,5
Sudeste;24,5;16,1;20,8;36,1;24,7;30,4;40,8;30;35,1;39,8;36,7;38,1;34,2;26,4;30,3;4,6;6,4;5,6;10,2;12,9;11,6;12,2;15,6;14;17;20,5;18,9;9,9;13,8;12;29,1;22,5;26,4;46,3;37,6;42;53;45,6;49,1;56,7;57,2;57;44,1;40,2;42,2
Sul;26,3;18,3;22,5;38,1;25,2;31,5;41,8;33;37,2;40,6;33,8;37,1;36;28,2;32;6;6,7;6,6;10;12,9;11,7;13,1;15,8;14,5;12,1;24,1;18,4;10;15;12,6;32,3;25;29,1;48;38,1;43,2;54,8;48,8;51,7;52,8;58;55,5;46;43,1;44,6
Centro-Oeste;25,4;17;21,4;37,1;23;30;41,2;33,4;37,2;41,3;35,6;38,4;34,6;26,1;30,3;4,6;4,8;4,9;9,2;9,8;9,6;12,3;14,3;13,3;11,2;17;14,1;8,6;10,4;9,5;30,1;21,8;26,3;46,3;32,8;39,6;53,6;47,7;50,5;52,5;52,6;52,5;43,2;36,5;39,9
Total;22,5;16,4;19,9;34,2;25,1;29,6;38,5;31,2;34,7;37,8;35,6;36,6;32;26,5;29,2;4,5;6;5,4;9,6;11,6;10,7;11,4;15,5;13,6;13,3;20;16,9;8,8;12,9;11;26,9;22,4;25,2;43,8;36,7;40,3;50;46,8;48,3;51,2;55,5;53,5;40,8;39,4;40,2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fonte: POF 2002-2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
